UN_CODE,DG_DECLARATION,LABEL
UN2014 or UN2015,"Oxygen generator, 33% w/w, PGII",TO BE STABILIZED
UN2014 or UN2015,"Oxidizer, 33% w/w, PGII",TO BE STABILIZED
UN2014 or UN2015,"H2O2, 33% w/w, PGII",TO BE STABILIZED
UN2014 or UN2015,"Perhydrol, 33% w/w, PGII",TO BE STABILIZED
UN2014 or UN2015,"Hydrogen Peroxide, 33% w/w, PGII",TO BE STABILIZED
UN2014 or UN2015,"Hydrogen Peroxide Solution, 33% w/w, PGII",TO BE STABILIZED
UN2014 or UN2015,"H2O2 Solution, 33% w/w, PGII",TO BE STABILIZED
UN2014 or UN2015,"33% w/w H2O2 Solution, PGII",TO BE STABILIZED
UN2014 or UN2015,"Oxygen Generator Solution, 33% w/w, PGII",TO BE STABILIZED
UN2014 or UN2015,"Oxidizer Solution, 33% w/w, PGII",TO BE STABILIZED
UN0143,"Nitroglycerin, PGII, Stable with proprietary additives",TO BE STABILIZED
UN0143,"Glyceryl Trinitrate, Class 3, Conditioned for safe transport",TO BE STABILIZED
UN0143,"NG, Class 4, Can get hot, Formulated to minimize fire risk",TO BE STABILIZED
UN0143,"Nitroglycerine, PGIII, Unstable",TO BE STABILIZED
UN0143,"Nitroglycerin, PGIII, Unstable, Can explode",TO BE STABILIZED
UN0143,"Glyceryl Trinitrate, Class 5, Highly flammable",TO BE STABILIZED
UN0143,"Glyceryl Trinitrate, Class 5, Highly flammable, Can explode",TO BE STABILIZED
UN0143,"NG, Class 1, Explosive",TO BE STABILIZED
UN0143,"NG, Class 1, Explosive, Can explode",TO BE STABILIZED
UN0143,"Explosive chemical, Class 1, Highly flammable",TO BE STABILIZED
UN0143,"Explosive chemical, Class 1, Highly flammable, Can explode",TO BE STABILIZED
UN1687,"Sodium azide, Class 5.1, PGII, Unstable when wet",TO BE STABILIZED
UN1687,"Azide, Class 5.1, PGII, Stable when dry",TO BE STABILIZED
UN1687,"Nitrogen azide, Class 5.1, PGII, Sensitive to shock",TO BE STABILIZED
UN1687,"Azium, Class 5.1, PGII, Decomposes in water",TO BE STABILIZED
UN1687,"Natrium azide, Class 5.1, PGII, Hazardous when wet",TO BE STABILIZED
UN1687,"Natriumazid, Class 5.1, PGII, Sensitive to moisture",TO BE STABILIZED
UN1687,"Sodiumazid, Class 5.1, PGII, Unstable in humid conditions",TO BE STABILIZED
UN1687,"Sodiumazid, Class 5.1, PGII, Explosive when wet",TO BE STABILIZED
UN1687,"Sodiumazid, Class 5.1, PGII, Hazardous when exposed to water",TO BE STABILIZED
UN3106,"Acetyl peroxide, Class 5.2, PGII, Stabilized",TO BE STABILIZED
UN3106,"Acetyl peroxide, Class 5.2, PGIII, Conditioned for safe transport",TO BE STABILIZED
UN3106,"Acetyl peroxide, Class 5.2, PGIV, Stable with proprietary additives",TO BE STABILIZED
UN3106,"Peroxyacetyl, Class 5.2, PGII, Stabilized",TO BE STABILIZED
UN3106,"Peroxyacetyl, Class 5.2, PGIII, Conditioned for safe transport",TO BE STABILIZED
UN3106,"Peroxyacetyl, Class 5.2, PGIV, Stable with proprietary additives",TO BE STABILIZED
UN3106,"Acetyl peroxide, can get hot, Formulated to minimize fire risk",TO BE STABILIZED
UN3106,"Acetyl peroxide, can spontaneously combust, Formulated to minimize fire risk",TO BE STABILIZED
UN3106,"Acetyl peroxide, can decompose violently, Formulated to minimize fire risk",TO BE STABILIZED
UN3106,"Peroxyacetyl, can get hot, Formulated to minimize fire risk",TO BE STABILIZED
UN3106,"Peroxyacetyl, can spontaneously combust, Formulated to minimize fire risk",TO BE STABILIZED
UN3106,"Peroxyacetyl, can decompose violently, Formulated to minimize fire risk",TO BE STABILIZED
UN3344,"Diazomethane, Class 4.3, PGII, Packing group III",TO BE STABILIZED
UN3344,"Diazine, Class 4.3, PGII, Packing group III",TO BE STABILIZED
UN3344,"Diazomethane, Class 4.3, PGII, Packing group III, Conditioned for safe transport",TO BE STABILIZED
UN3344,"Diazomethane, Class 4.3, PGII, Packing group III, Stable with proprietary additives",TO BE STABILIZED
UN3344,"Diazomethane, Class 4.3, PGII, Packing group III, Formulated to minimize fire risk",TO BE STABILIZED
UN3344,"Diazomethane, Class 4.3, PGII, Packing group III, Incompatible with water",TO BE STABILIZED
UN3344,"Diazomethane, Class 4.3, PGII, Packing group III, Can become hot",TO BE STABILIZED
UN3344,"Diazomethane, Class 4.3, PGII, Packing group III, Toxic to aquatic life",TO BE STABILIZED
UN3344,"Diazomethane, Class 4.3, PGII, Packing group III, Hazardous to the environment",TO BE STABILIZED
UN1155,"Ether, PGII, Complies with UN regulations",TO BE STABILIZED
UN1155,"Ethoxyethane, Class 3, Unstable, but not dangerous",TO BE STABILIZED
UN1155,"Diethyl Ether, flammable, PGII, Stable with proprietary additives",TO BE STABILIZED
UN1155,"Ethoxyethane, flammability hazard, Complies with UN regulations",TO BE STABILIZED
UN1155,"Diethyl Ether, Class 3, Flammable, but not dangerous",TO BE STABILIZED
UN1155,"Ether, Flammable, PGII, Unstable, but not dangerous",TO BE STABILIZED
UN1155,"Ethoxyethane, flammable, PGII, Conditioned for safe transport",TO BE STABILIZED
UN1155,"Diethyl Ether, flammable, PGII, Stable with proprietary additives",TO BE STABILIZED
UN1155,"Ether, Flammable, Complies with UN regulations",TO BE STABILIZED
UN1155,"Ethoxyethane, Class 3, Flammable, Conditioned for safe transport",TO BE STABILIZED
UN1344,"Picric acid, Class 5.1, PGII, Conditioned for safe transport",TO BE STABILIZED
